#Results,HTTP requests,Query execution time,CPU load,Memory usage
Query 1 - 10 persons - probability 0.0002
Query 10 - 500 persons - probability 0.5
25,729,3.864,15.06,336.23
25,729,3.946,15.04,336.96
25,729,3.970,14.36,342.68
Query 10 - 1000 persons - probability 0.0002
38,810,6.459,14.58,385.20
38,810,6.365,14.67,379.85
38,810,7.190,14.04,378.68
Query 10 - 1000 persons - probability 0.25
38,1222,8.820,14.26,532.84
38,1222,8.274,13.17,507.00
38,1222,8.018,14.35,529.85
Query 10 - 1000 persons - probability 0.5
38,1778,10.120,14.32,407.56
38,1778,9.966,14.48,411.33
38,1778,9.873,13.73,410.50
Query 10 - 2000 persons - probability 0.0002
76,1623,15.449,14.06,675.40
76,1623,14.840,13.92,675.23
76,1623,14.676,14.24,675.17
Query 10 - 2000 persons - probability 0.25
76,2553,18.839,13.95,1048.71
76,2553,18.559,13.76,1050.64
76,2553,18.394,13.63,1048.28
Query 10 - 2000 persons - probability 0.5
76,4253,25.029,13.51,1739.77
76,4253,25.387,13.29,1740.34
76,4253,24.865,13.97,1743.93
Query 10 - 3500 persons - probability 0.0002
115,2813,29.935,12.74,1310.76
115,2813,29.050,13.11,1278.85
115,2813,30.306,12.53,1293.61
Query 10 - 3500 persons - probability 0.25
115,4480,36.161,12.58,1980.08
115,4480,36.759,12.76,1981.09
115,4480,35.515,12.88,1976.51
Query 10 - 3500 persons - probability 0.5
115,8403,60.897,11.16,1999.46
115,8403,60.897,11.16,1999.46
115,8403,60.897,11.16,1999.46
Query 11 - 10 persons - probability 0.0002
0,10,0.084,20.98,65.51
0,10,0.083,13.99,65.18
0,10,0.075,12.83,65.04
Query 11 - 10 persons - probability 0.25
0,10,0.123,14.21,65.27
0,10,0.114,13.59,64.93
0,10,0.124,10.90,65.58
Query 11 - 10 persons - probability 0.5
0,10,0.135,11.67,67.09
0,10,0.135,11.57,66.14
0,10,0.144,12.15,66.96
Query 11 - 100 persons - probability 0.0002
0,100,0.304,14.14,73.98
0,100,0.306,15.31,74.96
0,100,0.286,14.29,74.39
Query 11 - 100 persons - probability 0.25
0,100,0.436,14.76,77.68
0,100,0.463,14.36,79.91
0,100,0.459,16.18,79.67
Query 11 - 100 persons - probability 0.5
0,100,0.530,20.22,88.24
0,100,0.585,18.66,88.07
0,100,0.529,15.86,87.22
Query 11 - 500 persons - probability 0.0002
1,724,4.555,14.66,321.51
1,724,4.548,14.34,316.73
1,724,4.556,13.72,319.40
Query 11 - 500 persons - probability 0.25
1,978,5.330,14.22,432.48
1,978,5.833,14.47,429.13
1,978,5.536,13.76,428.27
Query 11 - 500 persons - probability 0.5
1,1165,6.065,13.75,492.00
1,1165,6.110,13.65,492.13
1,1165,6.085,14.16,493.52
Query 11 - 1000 persons - probability 0.0002
4,1467,12.587,13.62,575.11
4,1467,12.860,12.92,576.48
4,1467,12.480,13.04,575.95
Query 11 - 1000 persons - probability 0.25
4,2004,15.929,12.95,772.81
4,2004,15.468,13.16,775.64
4,2004,15.868,13.24,774.78
Query 11 - 1000 persons - probability 0.5
4,3138,19.667,13.75,1160.40
4,3138,19.579,13.48,1155.39
4,3138,20.504,13.82,1158.90
Query 11 - 2000 persons - probability 0.0002
7,2975,35.973,12.39,1156.08
7,2975,34.067,12.88,1151.31
7,2975,33.000,12.81,1155.17
Query 11 - 2000 persons - probability 0.25
7,4195,39.257,13.00,1688.43
7,4190,39.558,12.79,1719.49
7,4177,39.078,13.14,1675.21
Query 11 - 2000 persons - probability 0.5
7,8671,64.142,11.31,2269.20
7,8671,64.197,11.22,2152.95
7,8671,72.642,10.72,2248.80
Query 11 - 3500 persons - probability 0.0002
10,5262,79.397,11.81,2130.28
10,5262,79.397,11.81,2130.28
10,5262,79.397,11.81,2130.28
Query 11 - 3500 persons - probability 0.25
10,7595,92.138,11.94,2869.26
